dte,stop_loss,dte_min,iv_percentile,initial_capital,final_value,total_pnl,total_return_pct,annualized_return_pct,sharpe_ratio,sortino_ratio,max_drawdown_pct,calmar_ratio,volatility_pct,total_trades,winning_trades,losing_trades,win_rate_pct,avg_win,avg_loss,largest_win,largest_loss,profit_factor,positive_months,total_months,positive_months_pct,best_month_pct,worst_month_pct,avg_monthly_return_pct,avg_days_in_trade
20,-0.7,1,10,10000,10000.0,0.0,0.0,0.0,-9.274741060417987e+16,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,10,0.0,0.0,0.0,0.0,
20,-0.7,1,20,10000,10000.0,0.0,0.0,0.0,-9.274741060417987e+16,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,10,0.0,0.0,0.0,0.0,
20,-0.7,1,30,10000,10000.0,0.0,0.0,0.0,-9.274741060417987e+16,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,10,0.0,0.0,0.0,0.0,
20,-0.7,1,40,10000,10000.0,0.0,0.0,0.0,-9.274741060417987e+16,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,10,0.0,0.0,0.0,0.0,
20,-0.7,1,50,10000,9926.153972935193,-73.84602706480655,-0.7384602706480655,-0.8570549990951415,-1.083578331043355,-0.5058696435160644,-2.03836940719311,0.40577130430557296,2.585286910034795,6,2,4,33.33333333333333,101.3957780985827,-65.25939581549181,192.8472205897652,-89.86050580822034,0.7768672758269126,0,10,0.0,0.0,-0.5780257895763308,-0.05780257895763308,3.1666666666666665
20,-0.7,1,60,10000,9880.287992842657,-119.71200715734267,-1.1971200715734267,-1.3888573074900323,-2.6843867127811576,-0.2642062981946759,-1.1971200715734267,1.160165417379225,1.2654642490478853,1,0,1,0.0,0.0,-117.1120071573419,0.0,-117.1120071573419,0.0,0,10,0.0,0.0,-1.197120071573432,-0.1197120071573432,3.0
20,-0.7,1,70,10000,10000.0,0.0,0.0,0.0,-9.274741060417987e+16,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,10,0.0,0.0,0.0,0.0,
20,-0.7,1,80,10000,10000.0,0.0,0.0,0.0,-9.274741060417987e+16,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,10,0.0,0.0,0.0,0.0,
20,-0.7,1,90,10000,10000.0,0.0,0.0,0.0,-9.274741060417987e+16,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,10,0.0,0.0,0.0,0.0,
20,-0.7,1,100,10000,9765.933660113971,-234.0663398860288,-2.340663398860288,-2.713024870234515,-1.807042175056755,-0.29077421876558507,-2.340663398860288,1.1590837330799193,2.616784174966992,1,0,1,0.0,0.0,-231.46633988602778,0.0,-231.46633988602778,0.0,0,10,0.0,0.0,-2.3406633988602876,-0.23406633988602876,5.0
