scenario,sharpe,sortino,max_dd_pct,calmar,win_rate_pct,profit_factor,trades,return_pct,avg_width,avg_credit,avg_contracts,avg_days
control,1.0804826489808461,1.2048885446572164,-43.094131718787466,0.8105942596419664,72.27722772277228,1.647345688163858,606,1173.3287356858139,13.82013201320132,2.1817565959204774,12.117161716171617,6.9537953795379535
w5-24d,0.9499150597298277,1.122936552958335,-49.68233851032862,0.6960058541152154,66.46562123039807,1.4988111104420332,829,1145.3425667030249,5.0,1.0020395381403249,29.61158021712907,7.276236429433052
w5-20d,0.8350848013751022,0.9385623558567147,-46.42030573624001,0.572869003383615,68.80984952120383,1.4754475327277012,731,640.7342863107182,5.0,0.8129744821450923,21.89876880984952,7.110807113543092
