capital,cagr_pct,total_return_pct,max_dd_pct,sharpe,sharpe_raw_no_rf
25000,22.089426877734475,446.7662585304787,-34.615908288277936,0.9853846770771697,1.0831289057653593
30000,20.007586754970074,372.30521544206556,-30.541517381797224,0.9936085927275686,1.1042327950703366
35000,18.334968335156155,319.11875609319907,-27.32525689065647,0.9975730037843651,1.120445573945997
40000,16.952689242453832,279.22891158154914,-24.72185258843954,0.9985628909450409,1.133215715319808
45000,15.78581811425086,248.20347696137705,-22.57137292038002,0.9974020390344436,1.1434744360345037
50000,14.78426632173926,223.38312926523935,-20.7650809289684,0.9946438380767232,1.1518500250210542
55000,13.913010234001998,203.07557205930848,-19.25786460068774,0.990673319723047,1.158781957072147
60000,13.146672402892978,186.15260772103278,-18.478232347752893,0.9857659416674958,1.1645865216832307
65000,12.466325665904975,171.83317635787643,-17.759268995155903,0.980123344359255,1.1694967445106512
70000,11.857511669983968,159.55937804659953,-17.094158122936353,0.9738960268908874,1.1736877358714264
75000,11.308960819909085,148.92208617682624,-16.477067588500656,0.9671982159841191,1.1772933469246463
80000,10.811736416746665,139.61445579077457,-15.902978056993296,0.9601178894402963,1.1804174282159987
85000,10.358645441515213,131.40184074425844,-15.367546170579082,0.9527236938918463,1.1831416243362158
90000,9.943822574817741,124.10173848068852,-14.86699445882605,0.9450698173827791,1.1855308833635056
95000,9.562430019913615,117.57006803433651,-14.398022085440706,0.9371994834396264,1.1876374225057382
100000,9.21043668718211,111.69156463261967,-13.957731971140161,0.9291474968716572,1.1895036290008907
105000,8.88445297052385,106.37291869773304,-13.54357089121243,0.9209421253837583,1.1911642131084312
110000,8.581605230018251,101.53778602965424,-13.153279930484363,0.9126065084030259,1.1926478270749685
115000,8.29943913167508,97.12309968053884,-12.784853264902127,0.9041597244169829,1.1939782971202415
120000,8.035844289734694,93.07630386051639,-12.43650368159463,0.8956176083648738,1.1951755712138652
125000,7.788994858389198,89.35325170609573,-12.106633586283017,0.8869933838507651,1.196256455546004
130000,7.55730221921822,85.91658817893821,-11.793810505524233,0.8782981566249506,1.1972351921156412
135000,7.33937694982949,82.73449232045903,-11.496746291272888,0.8695413030551195,1.1981239156068766
140000,7.13399799092862,79.77968902329977,-11.214279391018096,0.86073077835025,1.1989330176667674
145000,6.940087451812715,77.02866526387564,-10.945359668905379,0.8518733629146111,1.19967143951271
150000,6.756689872772426,74.46104308841312,-10.689035359661272,0.8429748606049793,1.2003469086034342
155000,6.582955040305882,72.05907395652882,-10.444441813691267,0.8340402593076784,1.2009661313116984
160000,6.418123656711283,69.80722789538729,-10.210791752861745,0.8250738617825593,1.2015349507363493
165000,6.2615153197063345,67.69185735310283,-9.987366805576322,0.8160793928837117,1.2020584767025608
170000,6.112518384299981,65.70092037212922,-9.773510129394332,0.8070600878919744,1.2025411934313919
175000,5.970581368153871,63.82375121863981,-9.568619961598202,0.7980187656530473,1.2029870491693997
180000,5.835205630217866,62.05086924034426,-9.372143964332261,0.7889578894234361,1.2033995311612224
185000,5.705939105638702,60.37381872033496,-9.183574252404277,0.7798796177180741,1.2037817286484427
190000,5.582370921562729,58.78503401716826,-9.002443009498723,0.770785846984285,1.20413638603676
195000,5.464126751240217,57.27772545262548,-8.828318613134782,0.761678247560639,1.2044659479500608
200000,5.350864789838883,55.84578231630984,-8.660802200795398,0.752558294094497,1.2047725975593462
