short_delta,wing,max_risk_percent,fill_fraction,spread_multiplier,cagr_pct,sharpe,max_dd_pct,trades
0.2,user_w5,15,0.5,1.0,-1.668037691126123,-0.26209222501348234,-35.794089253528874,453
0.2,user_w5,15,0.5,2.0,-5.607171272465439,-0.6182413368604414,-49.47787700090933,438
0.2,user_w5,15,0.5,3.0,-7.008782842053874,-0.8104121077657284,-52.64910522085966,440
0.2,user_w5,15,0.75,1.0,-2.738104932425245,-0.36664405076566436,-39.49548851164466,455
0.2,user_w5,15,0.75,2.0,-6.9137966382141425,-0.8009979413722051,-52.14426941222581,452
0.2,user_w5,15,0.75,3.0,-11.908526770174666,-1.2942242784840607,-67.95809631778283,430
0.2,user_w5,15,1.0,1.0,-5.020972970753956,-0.5809475921510462,-46.83575419747146,440
0.2,user_w5,15,1.0,2.0,-10.802044329519022,-1.1834417985715915,-64.794229700759,452
0.2,user_w5,15,1.0,3.0,-16.326044656912273,-1.8397210950323972,-78.89397440244632,445
0.2,user_w10,15,0.5,1.0,1.3281230296908308,-0.02649728749019923,-22.487246340294767,454
0.2,user_w10,15,0.5,2.0,-1.5573160632214589,-0.352934997569217,-30.070695925397175,457
0.2,user_w10,15,0.5,3.0,-2.69913941679486,-0.47413536789194227,-37.523967803209416,439
0.2,user_w10,15,0.75,1.0,-0.5789868600404535,-0.23504706982151097,-28.18383259460024,456
0.2,user_w10,15,0.75,2.0,-2.4827529695796935,-0.46188266127270555,-36.0341606179021,437
0.2,user_w10,15,0.75,3.0,-4.13140704227255,-0.6309945892126653,-40.28775208105423,434
0.2,user_w10,15,1.0,1.0,-1.5464668738540133,-0.3549697690995539,-30.768237577204356,456
0.2,user_w10,15,1.0,2.0,-3.1273685524595862,-0.5508568795087098,-36.22847247479586,432
0.2,user_w10,15,1.0,3.0,-6.714302587198818,-1.0850938279899909,-49.24759279258624,444
0.2,user_d10,20,0.5,1.0,2.9014819107247902,0.13374200966858157,-25.035123583388614,461
0.2,user_d10,20,0.5,2.0,1.7942722721984161,0.03641325702586045,-25.176426508247047,437
0.2,user_d10,20,0.5,3.0,-1.0417720751587978,-0.22317905957540138,-28.553604647404505,442
0.2,user_d10,20,0.75,1.0,2.7964570460246696,0.12464349358111891,-24.039568076526994,457
0.2,user_d10,20,0.75,2.0,-0.44808898982793277,-0.17255856887161616,-26.956414685264885,453
0.2,user_d10,20,0.75,3.0,-2.9200397946170242,-0.39423179479113957,-34.23649656745122,402
0.2,user_d10,20,1.0,1.0,1.891921143247255,0.04431267753653502,-24.84178946013652,439
0.2,user_d10,20,1.0,2.0,-1.8433087242830992,-0.3054149036124019,-31.07879866684285,420
0.2,user_d10,20,1.0,3.0,-5.711764797045992,-0.6942821967680903,-46.86816802914056,425
0.24,prior_d10,20,0.5,1.0,5.170835548232944,0.316278118291805,-25.148450450197657,421
0.24,prior_d10,20,0.5,2.0,3.311878130228041,0.16680786538347805,-27.259301018253616,436
0.24,prior_d10,20,0.5,3.0,0.6930518071328606,-0.05360357933259645,-29.95524585876783,423
0.24,prior_d10,20,0.75,1.0,3.464344375728312,0.1783974723615823,-26.156750309236408,434
0.24,prior_d10,20,0.75,2.0,1.148475888867484,-0.016006984562819154,-29.177608235058106,432
0.24,prior_d10,20,0.75,3.0,-1.3284648916269903,-0.23195803621233868,-33.73678348706335,399
0.24,prior_d10,20,1.0,1.0,3.3134693836309737,0.1668888636519273,-26.438177852196876,430
0.24,prior_d10,20,1.0,2.0,-1.3336219948429706,-0.23192250700218997,-32.557609834887586,412
0.24,prior_d10,20,1.0,3.0,-5.0177903395235095,-0.5661515500262276,-46.883080780663626,380
0.3,grid_w10,30,0.5,1.0,18.494176073464864,0.6608471332111463,-56.62692688906791,546
0.3,grid_w10,30,0.5,2.0,12.33435400520284,0.47787151912339615,-59.95640675223578,505
0.3,grid_w10,30,0.5,3.0,5.0736650831351815,0.2479594187981077,-64.52078583860468,482
0.3,grid_w10,30,0.75,1.0,15.328500037352931,0.5691869342866911,-57.77150759966481,528
0.3,grid_w10,30,0.75,2.0,5.246726634029808,0.2535909966971229,-63.35803959478269,491
0.3,grid_w10,30,0.75,3.0,-2.5571119175151535,-0.015468831938034087,-66.70461599438728,464
0.3,grid_w10,30,1.0,1.0,12.73802808862019,0.49049126953852606,-59.93521270200139,512
0.3,grid_w10,30,1.0,2.0,-0.20149200944462597,0.06653071695982975,-66.20919554636578,465
0.3,grid_w10,30,1.0,3.0,-8.212786574945486,-0.24277453049342354,-69.74571667183511,451
0.3,grid_d10,15,0.5,1.0,6.791087392613493,0.5548996508393182,-12.814171068559713,389
0.3,grid_d10,15,0.5,2.0,4.794674680199695,0.34779562041771667,-13.452190367748235,399
0.3,grid_d10,15,0.5,3.0,3.7726213691252397,0.24402060076867974,-13.104816857856166,376
0.3,grid_d10,15,0.75,1.0,5.7022142651403485,0.440149043174863,-13.57720503244828,388
0.3,grid_d10,15,0.75,2.0,3.7934374526349623,0.2468058175836788,-13.104816857856166,376
0.3,grid_d10,15,0.75,3.0,2.859111634933642,0.13828867138590537,-15.94363867709006,364
0.3,grid_d10,15,1.0,1.0,4.84287502011389,0.3535489449846065,-13.430781419637636,401
0.3,grid_d10,15,1.0,2.0,3.5368743637130162,0.21660590984409644,-14.422916942322445,366
0.3,grid_d10,15,1.0,3.0,2.147910087183913,0.05848430120999252,-15.68305001163625,349
