structure,profit_target,stop_loss,cagr_pct,sharpe,max_dd_pct,calmar,trades,win_rate_pct
w5,0.4,0.5,-4.932047155705277,-0.3614674537413551,-55.489664347802204,0.08888226688112273,514,69.45525291828794
w5,0.4,0.7,-5.013562549846107,-0.36681416356552826,-55.62468585619531,0.09013197059319142,507,68.83629191321499
w5,0.4,0.9,-4.672723538349155,-0.3476630948369023,-54.57933567662634,0.0856134190792332,518,69.88416988416989
w5,0.6,0.5,-2.1376131114520525,-0.1901598141231002,-45.5624173945788,0.046916147862391386,461,65.72668112798264
w5,0.6,0.7,-2.287304440335436,-0.19936220391942538,-45.68400153556448,0.05006795296937365,468,66.02564102564102
w5,0.6,0.9,-2.03310697260346,-0.18516907198595794,-45.05559367127621,0.045124407580486595,470,66.59574468085107
w5,0.8,0.5,-2.1592924847441464,-0.19280129709233468,-46.416296541330105,0.0465201372285586,460,65.65217391304347
w5,0.8,0.7,-2.1596446721974916,-0.18989885113075974,-46.71921646746877,0.04622604648563149,453,65.34216335540839
w5,0.8,0.9,-2.1592954693406274,-0.19386052186693237,-46.41631746875525,0.04652018055491237,457,64.98905908096279
d10,0.4,0.5,2.3711594236768274,0.08807826348662737,-28.82619016804459,0.08225712138350448,510,73.52941176470588
d10,0.4,0.7,2.2513464951416484,0.07787060566031333,-28.210017953835692,0.07980663106368334,501,73.65269461077844
d10,0.4,0.9,2.2513464951416484,0.07787060566031333,-28.210017953835692,0.07980663106368334,501,73.65269461077844
d10,0.6,0.5,2.9014819107247902,0.13374200966858157,-25.035123583388614,0.11589644848607782,461,67.89587852494577
d10,0.6,0.7,2.9003259507026646,0.13370389351849876,-24.261736763812507,0.11954321238158984,465,67.95698924731182
d10,0.6,0.9,2.9003259507026646,0.13370389351849876,-24.261736763812507,0.11954321238158984,465,67.95698924731182
d10,0.8,0.5,3.462625766516658,0.1843632360875795,-22.0824521629267,0.1568044047358977,459,68.84531590413944
d10,0.8,0.7,3.7369115274272335,0.2101774146161614,-21.220826339729282,0.17609641903675774,459,68.84531590413944
d10,0.8,0.9,3.7369115274272335,0.2101774146161614,-21.220826339729282,0.17609641903675774,459,68.84531590413944
