date,account_value,unrealized_pnl,total_value,open_positions,trades_entered_today,returns,cummax,drawdown
2018-01-02 12:00:00,150000.0,0.0,150000.0,0,0,,150000.0,0.0
2018-01-03 12:00:00,150000.0,0.0,150000.0,0,0,0.0,150000.0,0.0
2018-01-04 12:00:00,150000.0,0.0,150000.0,0,0,0.0,150000.0,0.0
2018-01-05 12:00:00,150000.0,0.0,150000.0,0,0,0.0,150000.0,0.0
2018-01-08 12:00:00,150000.0,0.0,150000.0,0,0,0.0,150000.0,0.0
2018-01-09 12:00:00,150000.0,0.0,150000.0,0,0,0.0,150000.0,0.0
2018-01-10 12:00:00,150000.0,0.0,150000.0,0,0,0.0,150000.0,0.0
2018-01-11 12:00:00,150000.0,0.0,150000.0,0,0,0.0,150000.0,0.0
2018-01-12 12:00:00,149998.7,0.0,149998.7,1,1,-8.666666666545808e-06,150000.0,-8.666666666589056e-06
2018-01-16 12:00:00,149997.40000000002,-22.837699389891608,149974.56230061012,2,1,-0.00016091939056728233,150000.0,-0.00016958466259917864
2018-01-17 12:00:00,149997.40000000002,54.932465228811736,150052.33246522883,2,0,0.0005185557032185706,150052.33246522883,0.0
2018-01-18 12:00:00,149998.08139896358,35.235903225894425,150033.31730218948,2,1,-0.00012672354189335877,150052.33246522883,-0.00012672354189334825
2018-01-19 12:00:00,150068.93398516317,21.106100728406187,150090.04008589158,1,0,0.0003780679166605072,150090.04008589158,0.0
2018-01-22 12:00:00,150111.66949605045,0.0,150111.66949605045,1,1,0.00014410956347599146,150111.66949605045,0.0
2018-01-23 12:00:00,150110.36949605047,11.931526670339965,150122.3010227208,2,1,7.082411851166981e-05,150122.3010227208,0.0
2018-01-24 12:00:00,150109.06949605048,-0.6706670292373929,150108.39882902123,3,1,-9.260578611491876e-05,150122.3010227208,-9.260578611488884e-05
2018-01-25 12:00:00,150107.7694960505,6.997598775178959,150114.76709482566,4,1,4.2424446960342976e-05,150122.3010227208,-5.018526790378453e-05
2018-01-26 12:00:00,150180.32836997742,187.16148020113803,150367.48985017856,3,0,0.0016835302764934834,150367.48985017856,0.0
