dte,short_delta,long_delta,profit_target,stop_loss,dte_min,vix_min,initial_capital,final_value,total_pnl,total_return_pct,annualized_return_pct,sharpe_ratio,sortino_ratio,max_drawdown_pct,calmar_ratio,volatility_pct,total_trades,winning_trades,losing_trades,win_rate_pct,avg_win,avg_loss,largest_win,largest_loss,profit_factor,avg_days_in_trade,positive_months,total_months,positive_months_pct,best_month_pct,worst_month_pct,avg_monthly_return_pct,below_min_trades,stability_score,stability_n
30,0.1,0.12000000000000001,0.9,0.1,13,15,20000,33001.40404842695,13001.40404842695,65.00702024213474,8.765647891127081,3.4121538941455185,3.5796871098142238,-0.7263054590830308,12.068817302012041,1.883624585188171,51,51,0,100.0,258.49811859660645,0.0,611.8048676280877,0.0,inf,14.784313725490197,38,71,53.52112676056338,3.70727659383141,0.0,0.7118240396917804,,2.761534217090915,11
30,0.1,0.12000000000000001,0.9,0.1,5,20,20000,32926.52838381286,12926.52838381286,64.6326419190643,8.724205860714873,3.404473084610389,3.5275156966987113,-0.7249892449143795,12.033565907236586,1.876630705949491,49,49,0,100.0,267.4413955880172,0.0,611.8048676280877,0.0,inf,15.224489795918368,37,71,52.112676056338024,3.2956951052180106,0.0,0.7085237407458572,,2.60035958536445,19
30,0.1,0.12000000000000001,0.8,0.30000000000000004,5,15,20000,33476.38235471065,13476.382354710651,67.38191177355326,9.026730348992862,3.394939293845192,3.4879928208557387,-0.7265247748769432,12.42453204781872,1.9643222531043687,53,53,0,100.0,257.63174254170997,0.0,587.0090008961095,0.0,inf,14.018867924528301,37,71,52.112676056338024,3.502411612463807,0.0,0.7323614552278559,,2.556996011902571,11
30,0.1,0.12000000000000001,0.8,0.2,11,15,20000,33518.61408758386,13518.614087583861,67.5930704379193,9.049794427906455,3.3885196486289257,3.392879424693437,-0.7220058177695867,12.53424031382876,1.9743507064465977,53,53,0,100.0,258.4776242940349,0.0,587.0090008961095,0.0,inf,13.81132075471698,37,71,52.112676056338024,3.4973426440406685,0.0,0.7340740398766445,,2.7674026015424102,19
30,0.1,0.12000000000000001,0.9,0.2,9,15,20000,32853.01172462927,12853.011724629272,64.26505862314636,8.683439632921353,3.3837981475980694,3.500766015800737,-0.7272567595965496,11.939991644407055,1.8770049949572716,49,49,0,100.0,265.94105560467864,0.0,611.8048676280877,0.0,inf,15.122448979591837,37,71,52.112676056338024,3.3039916752554577,0.0,0.7053378198704571,,2.6292918972616484,18
30,0.1,0.12000000000000001,0.8,0.1,9,20,20000,33367.87672319647,13367.876723196467,66.83938361598233,8.967360784123969,3.369564830033488,3.4399281058679465,-0.7273760856308333,12.32836899820101,1.9629250230176933,53,53,0,100.0,255.5844664754047,0.0,587.0090008961095,0.0,inf,13.88679245283019,37,71,52.112676056338024,3.5155028963130386,0.0,0.7276872872602702,,2.684547272579396,19
30,0.1,0.12000000000000001,0.9,0.4,15,20,20000,33391.67724471371,13391.677244713712,66.95838622356855,8.980397136129037,3.3680794615089673,3.0242662233570674,-1.077551899465432,8.334073876705304,1.967375158956396,58,57,1,98.27586206896551,238.4147787355012,-9.465143209893345,517.6187249231117,-9.465143209893345,1435.7566585700608,13.637931034482758,38,71,53.52112676056338,3.461956223991902,0.0,0.7286702979786436,,2.6066777725733465,4
40,0.1,0.13,0.5,0.30000000000000004,15,10,20000,36149.17360496029,16149.173604960291,80.74586802480145,10.440911116986884,3.3257203944386093,2.630084100970819,-1.5481544314190177,6.744101818974793,2.3959444115546393,79,77,2,97.46835443037975,213.18757311602567,-1.8347624868686023,611.6350334186945,-3.1809861628449854,4473.451808454589,10.873417721518987,42,71,59.154929577464785,2.862092951765227,-0.16883046383209255,0.8411748647139512,,2.534859927217206,40
40,0.1,0.13,0.5,0.1,17,10,20000,36149.17360496029,16149.173604960291,80.74586802480145,10.440911116986884,3.3257203944386093,2.630084100970819,-1.5481544314190177,6.744101818974793,2.3959444115546393,79,77,2,97.46835443037975,213.18757311602567,-1.8347624868686023,611.6350334186945,-3.1809861628449854,4473.451808454589,10.873417721518987,42,71,59.154929577464785,2.862092951765227,-0.16883046383209255,0.8411748647139512,,2.4367802211116163,39
40,0.1,0.13,0.5,0.2,19,10,20000,36149.17360496029,16149.173604960291,80.74586802480145,10.440911116986884,3.3257203944386093,2.630084100970819,-1.5481544314190177,6.744101818974793,2.3959444115546393,79,77,2,97.46835443037975,213.18757311602567,-1.8347624868686023,611.6350334186945,-3.1809861628449854,4473.451808454589,10.873417721518987,42,71,59.154929577464785,2.862092951765227,-0.16883046383209255,0.8411748647139512,,2.421012037686735,50
40,0.1,0.13,0.5,0.1,13,10,20000,36149.17360496029,16149.173604960291,80.74586802480145,10.440911116986884,3.3257203944386093,2.630084100970819,-1.5481544314190177,6.744101818974793,2.3959444115546393,79,77,2,97.46835443037975,213.18757311602567,-1.8347624868686023,611.6350334186945,-3.1809861628449854,4473.451808454589,10.873417721518987,42,71,59.154929577464785,2.862092951765227,-0.16883046383209255,0.8411748647139512,,2.2424897752756427,33
40,0.1,0.13,0.5,0.1,15,10,20000,36149.17360496029,16149.173604960291,80.74586802480145,10.440911116986884,3.3257203944386093,2.630084100970819,-1.5481544314190177,6.744101818974793,2.3959444115546393,79,77,2,97.46835443037975,213.18757311602567,-1.8347624868686023,611.6350334186945,-3.1809861628449854,4473.451808454589,10.873417721518987,42,71,59.154929577464785,2.862092951765227,-0.16883046383209255,0.8411748647139512,,2.357465993433342,42
40,0.1,0.13,0.5,0.2,19,15,20000,36149.17360496029,16149.173604960291,80.74586802480145,10.440911116986884,3.3257203944386093,2.630084100970819,-1.5481544314190177,6.744101818974793,2.3959444115546393,79,77,2,97.46835443037975,213.18757311602567,-1.8347624868686023,611.6350334186945,-3.1809861628449854,4473.451808454589,10.873417721518987,42,71,59.154929577464785,2.862092951765227,-0.16883046383209255,0.8411748647139512,,2.4177374306497494,51
40,0.1,0.13,0.5,0.30000000000000004,19,10,20000,36149.17360496029,16149.173604960291,80.74586802480145,10.440911116986884,3.3257203944386093,2.630084100970819,-1.5481544314190177,6.744101818974793,2.3959444115546393,79,77,2,97.46835443037975,213.18757311602567,-1.8347624868686023,611.6350334186945,-3.1809861628449854,4473.451808454589,10.873417721518987,42,71,59.154929577464785,2.862092951765227,-0.16883046383209255,0.8411748647139512,,2.54720616942693,47
40,0.1,0.13,0.5,0.4,17,10,20000,36149.17360496029,16149.173604960291,80.74586802480145,10.440911116986884,3.3257203944386093,2.630084100970819,-1.5481544314190177,6.744101818974793,2.3959444115546393,79,77,2,97.46835443037975,213.18757311602567,-1.8347624868686023,611.6350334186945,-3.1809861628449854,4473.451808454589,10.873417721518987,42,71,59.154929577464785,2.862092951765227,-0.16883046383209255,0.8411748647139512,,2.4506029993429417,30
40,0.1,0.13,0.5,0.30000000000000004,13,10,20000,36149.17360496029,16149.173604960291,80.74586802480145,10.440911116986884,3.3257203944386093,2.630084100970819,-1.5481544314190177,6.744101818974793,2.3959444115546393,79,77,2,97.46835443037975,213.18757311602567,-1.8347624868686023,611.6350334186945,-3.1809861628449854,4473.451808454589,10.873417721518987,42,71,59.154929577464785,2.862092951765227,-0.16883046383209255,0.8411748647139512,,2.469457385429891,23
40,0.1,0.13,0.5,0.2,17,15,20000,36149.17360496029,16149.173604960291,80.74586802480145,10.440911116986884,3.3257203944386093,2.630084100970819,-1.5481544314190177,6.744101818974793,2.3959444115546393,79,77,2,97.46835443037975,213.18757311602567,-1.8347624868686023,611.6350334186945,-3.1809861628449854,4473.451808454589,10.873417721518987,42,71,59.154929577464785,2.862092951765227,-0.16883046383209255,0.8411748647139512,,2.447695384617817,60
