near_dte,far_dte,target_delta,profit_target,stop_loss,iv_percentile_max,dte_exit,initial_capital,final_value,total_pnl,total_return_pct,annualized_return_pct,sharpe_ratio,sortino_ratio,max_drawdown_pct,calmar_ratio,volatility_pct,total_trades,winning_trades,losing_trades,win_rate_pct,avg_win,avg_loss,largest_win,largest_loss,profit_factor,positive_months,total_months,positive_months_pct,best_month_pct,worst_month_pct,avg_monthly_return_pct,avg_days_in_trade
20,45,0.7,0.6,-0.1,50,1,10000,45983.72231902133,35983.72231902133,359.83722319021336,488.133282409738,5.908716423508023,12.166560254395684,-5.523281789193481,88.40955961721745,30.673693360375083,115,93,22,80.8695652173913,411.14812142835297,-103.8514888142193,1903.3680734962984,-239.50256215773504,16.735775870220564,9,10,90.0,28.24825041026495,-0.5259297263985108,16.611908047921325,14.530434782608696
20,45,0.6000000000000001,0.6,-0.1,50,1,10000,45983.72231902133,35983.72231902133,359.83722319021336,488.133282409738,5.908716423508023,12.166560254395684,-5.523281789193481,88.40955961721745,30.673693360375083,115,93,22,80.8695652173913,411.14812142835297,-103.8514888142193,1903.3680734962984,-239.50256215773504,16.735775870220564,9,10,90.0,28.24825041026495,-0.5259297263985108,16.611908047921325,14.530434782608696
20,45,0.65,0.6,-0.1,50,1,10000,45983.72231902133,35983.72231902133,359.83722319021336,488.133282409738,5.908716423508023,12.166560254395684,-5.523281789193481,88.40955961721745,30.673693360375083,115,93,22,80.8695652173913,411.14812142835297,-103.8514888142193,1903.3680734962984,-239.50256215773504,16.735775870220564,9,10,90.0,28.24825041026495,-0.5259297263985108,16.611908047921325,14.530434782608696
20,45,0.7,0.6,-0.1,60,1,10000,47621.8440666853,37621.8440666853,376.218440666853,512.5334224784605,5.858003310051107,12.118457505044018,-7.080057901109983,72.41726369940609,31.694502958666526,124,97,27,78.2258064516129,395.36403672504616,-109.18659493935094,2094.860230789429,-242.11337411072765,13.008757260952002,10,10,100.0,30.506877396867726,0.38303396327723505,17.020879170113126,14.07258064516129
20,45,0.6000000000000001,0.6,-0.1,60,1,10000,47621.8440666853,37621.8440666853,376.218440666853,512.5334224784605,5.858003310051107,12.118457505044018,-7.080057901109983,72.41726369940609,31.694502958666526,124,97,27,78.2258064516129,395.36403672504616,-109.18659493935094,2094.860230789429,-242.11337411072765,13.008757260952002,10,10,100.0,30.506877396867726,0.38303396327723505,17.020879170113126,14.07258064516129
20,45,0.65,0.6,-0.1,60,1,10000,47621.8440666853,37621.8440666853,376.218440666853,512.5334224784605,5.858003310051107,12.118457505044018,-7.080057901109983,72.41726369940609,31.694502958666526,124,97,27,78.2258064516129,395.36403672504616,-109.18659493935094,2094.860230789429,-242.11337411072765,13.008757260952002,10,10,100.0,30.506877396867726,0.38303396327723505,17.020879170113126,14.07258064516129
20,50,0.65,0.5,-0.1,60,1,10000,48645.673478877216,38645.673478877216,386.4567347887721,527.8527550938087,5.783402940577546,11.979786215835775,-6.910779816225602,76.40850865446234,32.58345749731599,117,93,24,79.48717948717949,419.13856507408974,-123.23498523252879,2431.9718049520957,-289.31975937156943,13.179390061982076,10,10,100.0,33.052761014034985,1.8374227714302194,17.06542879058029,13.786324786324787
20,50,0.6000000000000001,0.5,-0.1,60,1,10000,48645.673478877216,38645.673478877216,386.4567347887721,527.8527550938087,5.783402940577546,11.979786215835775,-6.910779816225602,76.40850865446234,32.58345749731599,117,93,24,79.48717948717949,419.13856507408974,-123.23498523252879,2431.9718049520957,-289.31975937156943,13.179390061982076,10,10,100.0,33.052761014034985,1.8374227714302194,17.06542879058029,13.786324786324787
20,45,0.65,0.5,-0.1,60,5,10000,40307.24071180021,30307.24071180021,303.07240711800205,404.69092940243144,5.77301100059853,13.184603035300235,-6.777877495246681,59.73010822533634,28.61043181039448,127,103,24,81.10236220472441,315.4833642808916,-106.97771782976993,1309.260296650234,-242.11337411072765,12.656368689100791,10,10,100.0,34.75881449272609,0.3921982083695763,14.875743983272688,12.669291338582678
20,45,0.7,0.5,-0.1,60,3,10000,40307.24071180021,30307.24071180021,303.07240711800205,404.69092940243144,5.77301100059853,13.184603035300235,-6.777877495246681,59.73010822533634,28.61043181039448,127,103,24,81.10236220472441,315.4833642808916,-106.97771782976993,1309.260296650234,-242.11337411072765,12.656368689100791,10,10,100.0,34.75881449272609,0.3921982083695763,14.875743983272688,12.669291338582678
20,45,0.6000000000000001,0.5,-0.1,60,5,10000,40307.24071180021,30307.24071180021,303.07240711800205,404.69092940243144,5.77301100059853,13.184603035300235,-6.777877495246681,59.73010822533634,28.61043181039448,127,103,24,81.10236220472441,315.4833642808916,-106.97771782976993,1309.260296650234,-242.11337411072765,12.656368689100791,10,10,100.0,34.75881449272609,0.3921982083695763,14.875743983272688,12.669291338582678
20,45,0.6000000000000001,0.5,-0.1,60,3,10000,40307.24071180021,30307.24071180021,303.07240711800205,404.69092940243144,5.77301100059853,13.184603035300235,-6.777877495246681,59.73010822533634,28.61043181039448,127,103,24,81.10236220472441,315.4833642808916,-106.97771782976993,1309.260296650234,-242.11337411072765,12.656368689100791,10,10,100.0,34.75881449272609,0.3921982083695763,14.875743983272688,12.669291338582678
20,45,0.55,0.5,-0.1,50,3,10000,38437.03289861348,28437.032898613477,284.3703289861348,377.6000331367573,5.743205930449349,13.229560549946989,-4.8516349236341245,77.85917201263709,27.745947691176003,115,94,21,81.73913043478261,327.9365122877925,-94.44758363995636,1323.5457404129959,-239.50256215773504,15.542020626949478,9,10,90.0,30.27474224198974,-0.5387171829893012,14.29441139923875,13.095652173913043
