near_dte,far_dte,target_delta,profit_target,stop_loss,vix_min,vix_max,dte_exit,initial_capital,final_value,total_pnl,total_return_pct,annualized_return_pct,sharpe_ratio,sortino_ratio,max_drawdown_pct,calmar_ratio,volatility_pct,total_trades,winning_trades,losing_trades,win_rate_pct,avg_win,avg_loss,largest_win,largest_loss,profit_factor,avg_days_in_trade,positive_months,total_months,positive_months_pct,best_month_pct,worst_month_pct,avg_monthly_return_pct,stability_score,stability_n,below_min_trades
14,42,0.45,0.30000000000000004,-0.5,5,30,5,10000,18986.80560210475,8986.805602104749,89.86805602104748,18.371246530956565,1.9396065477698903,2.317802457980168,-14.071188407940083,1.3058807957367602,7.835890423877502,90,63,27,70.0,224.93925734801087,-182.35082856114943,690.5331386685147,-566.9336698550652,2.8782883592401833,13.011111111111111,28,45,62.22222222222222,7.5011215804619225,-4.521337076573406,1.4060357592130819,1.192149833391872,443,
14,42,0.45,0.30000000000000004,-0.5,10,30,5,10000,18986.80560210475,8986.805602104749,89.86805602104748,18.371246530956565,1.9396065477698903,2.317802457980168,-14.071188407940083,1.3058807957367602,7.835890423877502,90,63,27,70.0,224.93925734801087,-182.35082856114943,690.5331386685147,-566.9336698550652,2.8782883592401833,13.011111111111111,28,45,62.22222222222222,7.5011215804619225,-4.521337076573406,1.4060357592130819,1.1097840325244597,498,
14,42,0.45,0.30000000000000004,-0.4,10,30,5,10000,18998.245501583584,8998.245501583584,89.98245501583584,18.390003176050506,1.9363488032661227,2.2851340746101996,-13.984839250054659,1.315285193686024,7.8582011887384065,90,63,27,70.0,224.93925734801087,-181.92712858045178,690.5331386685147,-566.9336698550652,2.884991761485731,12.977777777777778,28,45,62.22222222222222,7.494735300510724,-4.521337076573406,1.4072951628067463,1.101456185274885,510,
14,42,0.45,0.30000000000000004,-0.5,10,35,5,10000,18987.200252510713,8987.200252510713,89.87200252510713,18.371893731057853,1.9275070154510892,2.3122459619437783,-14.070769261006433,1.3059656935944381,7.887468487662806,92,63,29,68.47826086956522,222.3959699496552,-164.19140050512644,690.5331386685147,-566.9336698550652,2.942517520180153,13.0,28,45,62.22222222222222,7.500901087141498,-4.521195427637748,1.407039625757866,1.1234144083928066,424,
14,42,0.45,0.30000000000000004,-0.5,10,40,5,10000,18987.200252510713,8987.200252510713,89.87200252510713,18.371893731057853,1.9275070154510892,2.3122459619437783,-14.070769261006433,1.3059656935944381,7.887468487662806,92,63,29,68.47826086956522,222.3959699496552,-164.19140050512644,690.5331386685147,-566.9336698550652,2.942517520180153,13.0,28,45,62.22222222222222,7.500901087141498,-4.521195427637748,1.407039625757866,1.0942034047867502,256,
14,42,0.45,0.30000000000000004,-0.5,5,35,5,10000,18987.200252510713,8987.200252510713,89.87200252510713,18.371893731057853,1.9275070154510892,2.3122459619437783,-14.070769261006433,1.3059656935944381,7.887468487662806,92,63,29,68.47826086956522,222.3959699496552,-164.19140050512644,690.5331386685147,-566.9336698550652,2.942517520180153,13.0,28,45,62.22222222222222,7.500901087141498,-4.521195427637748,1.407039625757866,1.2036441169614298,379,
14,42,0.45,0.30000000000000004,-0.5,10,45,5,10000,18987.200252510713,8987.200252510713,89.87200252510713,18.371893731057853,1.9275070154510892,2.3122459619437783,-14.070769261006433,1.3059656935944381,7.887468487662806,92,63,29,68.47826086956522,222.3959699496552,-164.19140050512644,690.5331386685147,-566.9336698550652,2.942517520180153,13.0,28,45,62.22222222222222,7.500901087141498,-4.521195427637748,1.407039625757866,1.0886335193068888,136,
14,42,0.45,0.30000000000000004,-0.5,5,40,5,10000,18987.200252510713,8987.200252510713,89.87200252510713,18.371893731057853,1.9275070154510892,2.3122459619437783,-14.070769261006433,1.3059656935944381,7.887468487662806,92,63,29,68.47826086956522,222.3959699496552,-164.19140050512644,690.5331386685147,-566.9336698550652,2.942517520180153,13.0,28,45,62.22222222222222,7.500901087141498,-4.521195427637748,1.407039625757866,1.1585506809447328,232,
14,42,0.45,0.30000000000000004,-0.5,5,45,5,10000,18987.200252510713,8987.200252510713,89.87200252510713,18.371893731057853,1.9275070154510892,2.3122459619437783,-14.070769261006433,1.3059656935944381,7.887468487662806,92,63,29,68.47826086956522,222.3959699496552,-164.19140050512644,690.5331386685147,-566.9336698550652,2.942517520180153,13.0,28,45,62.22222222222222,7.500901087141498,-4.521195427637748,1.407039625757866,1.136481101188728,128,
14,42,0.45,0.30000000000000004,-0.5,10,50,5,10000,18987.200252510713,8987.200252510713,89.87200252510713,18.371893731057853,1.9275070154510892,2.3122459619437783,-14.070769261006433,1.3059656935944381,7.887468487662806,92,63,29,68.47826086956522,222.3959699496552,-164.19140050512644,690.5331386685147,-566.9336698550652,2.942517520180153,13.0,28,45,62.22222222222222,7.500901087141498,-4.521195427637748,1.407039625757866,0.9569696509060311,59,
