near_dte,far_dte,target_delta,profit_target,stop_loss,iv_percentile_max,dte_exit,initial_capital,final_value,total_pnl,total_return_pct,annualized_return_pct,sharpe_ratio,sortino_ratio,max_drawdown_pct,calmar_ratio,volatility_pct,total_trades,winning_trades,losing_trades,win_rate_pct,avg_win,avg_loss,largest_win,largest_loss,profit_factor,avg_days_in_trade,positive_months,total_months,positive_months_pct,best_month_pct,worst_month_pct,avg_monthly_return_pct
20,45,0.45,0.6,-0.1,50,1,10000,45983.72112004329,35983.72112004329,359.8372112004329,488.13326460138853,5.908718113629846,12.16653733751721,-5.523275468823413,88.40965756044145,30.673683580383337,115,93,22,80.8695652173913,411.1480762946403,-103.85135252070842,1903.3680734962984,-239.50256215773504,16.73579599692173,14.530434782608696,9,10,90.0,28.24825153139234,-0.5259296731640273,16.611907403115723
20,45,0.45,0.6,-0.1,50,1,10000,45983.72112004329,35983.72112004329,359.8372112004329,488.13326460138853,5.908718113629846,12.16653733751721,-5.523275468823413,88.40965756044145,30.673683580383337,115,93,22,80.8695652173913,411.1480762946403,-103.85135252070842,1903.3680734962984,-239.50256215773504,16.73579599692173,14.530434782608696,9,10,90.0,28.24825153139234,-0.5259296731640273,16.611907403115723
20,45,0.45,0.6,-0.1,50,1,10000,45983.72112004329,35983.72112004329,359.8372112004329,488.13326460138853,5.908718113629846,12.16653733751721,-5.523275468823413,88.40965756044145,30.673683580383337,115,93,22,80.8695652173913,411.1480762946403,-103.85135252070842,1903.3680734962984,-239.50256215773504,16.73579599692173,14.530434782608696,9,10,90.0,28.24825153139234,-0.5259296731640273,16.611907403115723
20,45,0.45,0.6,-0.1,50,1,10000,45983.72112004329,35983.72112004329,359.8372112004329,488.13326460138853,5.908718113629846,12.16653733751721,-5.523275468823413,88.40965756044145,30.673683580383337,115,93,22,80.8695652173913,411.1480762946403,-103.85135252070842,1903.3680734962984,-239.50256215773504,16.73579599692173,14.530434782608696,9,10,90.0,28.24825153139234,-0.5259296731640273,16.611907403115723
20,45,0.45,0.6,-0.1,50,1,10000,45983.72112004329,35983.72112004329,359.8372112004329,488.13326460138853,5.908718113629846,12.16653733751721,-5.523275468823413,88.40965756044145,30.673683580383337,115,93,22,80.8695652173913,411.1480762946403,-103.85135252070842,1903.3680734962984,-239.50256215773504,16.73579599692173,14.530434782608696,9,10,90.0,28.24825153139234,-0.5259296731640273,16.611907403115723
20,45,0.5,0.6,-0.1,50,1,10000,45983.72112004329,35983.72112004329,359.8372112004329,488.13326460138853,5.908718113629846,12.16653733751721,-5.523275468823413,88.40965756044145,30.673683580383337,115,93,22,80.8695652173913,411.1480762946403,-103.85135252070842,1903.3680734962984,-239.50256215773504,16.73579599692173,14.530434782608696,9,10,90.0,28.24825153139234,-0.5259296731640273,16.611907403115723
20,45,0.45,0.6,-0.1,50,1,10000,45983.72112004329,35983.72112004329,359.8372112004329,488.13326460138853,5.908718113629846,12.16653733751721,-5.523275468823413,88.40965756044145,30.673683580383337,115,93,22,80.8695652173913,411.1480762946403,-103.85135252070842,1903.3680734962984,-239.50256215773504,16.73579599692173,14.530434782608696,9,10,90.0,28.24825153139234,-0.5259296731640273,16.611907403115723
20,45,0.45,0.6,-0.1,50,1,10000,45983.72112004329,35983.72112004329,359.8372112004329,488.13326460138853,5.908718113629846,12.16653733751721,-5.523275468823413,88.40965756044145,30.673683580383337,115,93,22,80.8695652173913,411.1480762946403,-103.85135252070842,1903.3680734962984,-239.50256215773504,16.73579599692173,14.530434782608696,9,10,90.0,28.24825153139234,-0.5259296731640273,16.611907403115723
20,45,0.5,0.6,-0.1,50,1,10000,45983.72112004329,35983.72112004329,359.8372112004329,488.13326460138853,5.908718113629846,12.16653733751721,-5.523275468823413,88.40965756044145,30.673683580383337,115,93,22,80.8695652173913,411.1480762946403,-103.85135252070842,1903.3680734962984,-239.50256215773504,16.73579599692173,14.530434782608696,9,10,90.0,28.24825153139234,-0.5259296731640273,16.611907403115723
20,45,0.45,0.6,-0.1,50,1,10000,45983.72112004329,35983.72112004329,359.8372112004329,488.13326460138853,5.908718113629846,12.16653733751721,-5.523275468823413,88.40965756044145,30.673683580383337,115,93,22,80.8695652173913,411.1480762946403,-103.85135252070842,1903.3680734962984,-239.50256215773504,16.73579599692173,14.530434782608696,9,10,90.0,28.24825153139234,-0.5259296731640273,16.611907403115723
