dte,short_delta,strike_width,profit_target,stop_loss,dte_min,initial_capital,final_value,total_pnl,total_return_pct,annualized_return_pct,sharpe_ratio,sortino_ratio,max_drawdown_pct,calmar_ratio,volatility_pct,total_trades,winning_trades,losing_trades,win_rate_pct,avg_win,avg_loss,largest_win,largest_loss,profit_factor,avg_days_in_trade,positive_months,total_months,positive_months_pct,best_month_pct,worst_month_pct,avg_monthly_return_pct,below_min_trades,stability_score,stability_n
24,0.31,20,0.8,0.30000000000000004,5,150000,227359.98461720248,77359.98461720248,51.57332307813499,7.232000812845696,0.6618035364818592,0.6197733255737464,-17.067651042831024,0.42372560785881397,8.02576315299364,1285,1002,283,77.97665369649806,229.9085800160258,-534.7629419041889,318.60501038427765,-1772.5425456919768,1.522212070200332,17.622568093385215,44,71,61.97183098591549,4.983874890722206,-6.634266621381791,0.6202117796313145,,0.49909911442739624,15
24,0.31,20,0.9,0.30000000000000004,5,150000,227170.7021675286,77170.7021675286,51.4471347783524,7.217007726074742,0.6480836794816855,0.5961298285357681,-17.661638755186512,0.4086261657885737,8.195704806038542,1285,988,297,76.88715953307394,237.2345199296398,-523.7256010874944,318.60501038427765,-1772.5425456919768,1.506865794999034,19.03579766536965,45,71,63.38028169014085,5.101955555775262,-7.003388172474956,0.6211946234747713,,0.5115261572334142,11
27,0.35,20,0.9,0.30000000000000004,5,150000,235836.02512178707,85836.02512178707,57.224016747858045,7.892977310045035,0.6107600130354437,0.5790817117520966,-20.120441292523214,0.3922864909020697,9.99812187386828,1368,1019,349,74.48830409356725,280.39813141793906,-567.6540710404734,377.5135091886779,-1842.0024905416474,1.4422485645112275,22.04093567251462,45,71,63.38028169014085,6.845557720251039,-8.510683731958002,0.6971860314881868,,0.4999665467058803,34
27,0.35,20,0.9,0.30000000000000004,5,150000,235836.02512178707,85836.02512178707,57.224016747858045,7.892977310045035,0.6107600130354437,0.5790817117520966,-20.120441292523214,0.3922864909020697,9.99812187386828,1368,1019,349,74.48830409356725,280.39813141793906,-567.6540710404734,377.5135091886779,-1842.0024905416474,1.4422485645112275,22.04093567251462,45,71,63.38028169014085,6.845557720251039,-8.510683731958002,0.6971860314881868,,0.4999665467058803,34
27,0.35,20,0.9,0.30000000000000004,5,150000,235836.02512178707,85836.02512178707,57.224016747858045,7.892977310045035,0.6107600130354437,0.5790817117520966,-20.120441292523214,0.3922864909020697,9.99812187386828,1368,1019,349,74.48830409356725,280.39813141793906,-567.6540710404734,377.5135091886779,-1842.0024905416474,1.4422485645112275,22.04093567251462,45,71,63.38028169014085,6.845557720251039,-8.510683731958002,0.6971860314881868,,0.4999665467058803,34
27,0.35,20,0.9,0.30000000000000004,5,150000,235836.02512178707,85836.02512178707,57.224016747858045,7.892977310045035,0.6107600130354437,0.5790817117520966,-20.120441292523214,0.3922864909020697,9.99812187386828,1368,1019,349,74.48830409356725,280.39813141793906,-567.6540710404734,377.5135091886779,-1842.0024905416474,1.4422485645112275,22.04093567251462,45,71,63.38028169014085,6.845557720251039,-8.510683731958002,0.6971860314881868,,0.4999665467058803,34
27,0.35,20,0.8,0.30000000000000004,5,150000,232260.95111861694,82260.95111861694,54.840634079077965,7.616637213253741,0.5896944630374495,0.563573464659352,-18.85338984304517,0.40399298357814645,9.903868223734188,1368,1032,336,75.43859649122807,269.1948064778711,-576.6955034719597,377.1078527892531,-1842.0024905416474,1.4337074156440341,20.111842105263158,45,71,63.38028169014085,6.801691496516504,-8.207939789096885,0.6736424377180718,,0.48908606981525404,41
27,0.35,20,0.8,0.30000000000000004,5,150000,232260.95111861694,82260.95111861694,54.840634079077965,7.616637213253741,0.5896944630374495,0.563573464659352,-18.85338984304517,0.40399298357814645,9.903868223734188,1368,1032,336,75.43859649122807,269.1948064778711,-576.6955034719597,377.1078527892531,-1842.0024905416474,1.4337074156440341,20.111842105263158,45,71,63.38028169014085,6.801691496516504,-8.207939789096885,0.6736424377180718,,0.48908606981525404,41
21,0.35,20,0.8,0.30000000000000004,5,150000,225289.98086623137,75289.98086623137,50.193320577487576,7.067467998621013,0.5841989194134696,0.5288273431963566,-18.333752150359256,0.385489448131463,8.968233400549845,1297,974,323,75.09637625289129,266.57751508981346,-565.5430923568944,382.77099108676686,-1757.6591201572246,1.4213932466936543,16.77255204317656,45,71,63.38028169014085,5.5224668540654775,-7.273050379616852,0.6177872428321034,,0.4694365104589071,21
21,0.35,10,0.9,0.4,7,150000,204607.45283090151,54607.452830901515,36.40496855393434,5.350446590852775,0.5797257291232892,0.6314115205983232,-11.278038732800352,0.47441285826514024,5.842837972427174,1401,997,404,71.16345467523197,170.43676227255884,-280.9324236506743,241.37888163217184,-669.1283325440626,1.4971840877404605,16.491077801570306,43,71,60.56338028169014,2.961616891747343,-3.990721614584969,0.454878864214261,,0.4916310496650259,5
